communityname;state;countyCode;communityCode;fold;population;householdsize;racepctblack;racePctWhite;racePctAsian;racePctHisp;agePct12t21;agePct12t29;agePct16t24;agePct65up;numbUrban;pctUrban;medIncome;pctWWage;pctWFarmSelf;pctWInvInc;pctWSocSec;pctWPubAsst;pctWRetire;medFamInc;perCapInc;whitePerCap;blackPerCap;indianPerCap;AsianPerCap;OtherPerCap;HispPerCap;NumUnderPov;PctPopUnderPov;PctLess9thGrade;PctNotHSGrad;PctBSorMore;PctUnemployed;PctEmploy;PctEmplManu;PctEmplProfServ;PctOccupManu;PctOccupMgmtProf;MalePctDivorce;MalePctNevMarr;FemalePctDiv;TotalPctDiv;PersPerFam;PctFam2Par;PctKids2Par;PctYoungKids2Par;PctTeen2Par;PctWorkMomYoungKids;PctWorkMom;NumKidsBornNeverMar;PctKidsBornNeverMar;NumImmig;PctImmigRecent;PctImmigRec5;PctImmigRec8;PctImmigRec10;PctRecentImmig;PctRecImmig5;PctRecImmig8;PctRecImmig10;PctSpeakEnglOnly;PctNotSpeakEnglWell;PctLargHouseFam;PctLargHouseOccup;PersPerOccupHous;PersPerOwnOccHous;PersPerRentOccHous;PctPersOwnOccup;PctPersDenseHous;PctHousLess3BR;MedNumBR;HousVacant;PctHousOccup;PctHousOwnOcc;PctVacantBoarded;PctVacMore6Mos;MedYrHousBuilt;PctHousNoPhone;PctWOFullPlumb;OwnOccLowQuart;OwnOccMedVal;OwnOccHiQuart;OwnOccQrange;RentLowQ;RentMedian;RentHighQ;RentQrange;MedRent;MedRentPctHousInc;MedOwnCostPctInc;MedOwnCostPctIncNoMtg;NumInShelters;NumStreet;PctForeignBorn;PctBornSameState;PctSameHouse85;PctSameCity85;PctSameState85;LemasSwornFT;LemasSwFTPerPop;LemasSwFTFieldOps;LemasSwFTFieldPerPop;LemasTotalReq;LemasTotReqPerPop;PolicReqPerOffic;PolicPerPop;RacialMatchCommPol;PctPolicWhite;PctPolicBlack;PctPolicHisp;PctPolicAsian;PctPolicMinor;OfficAssgnDrugUnits;NumKindsDrugsSeiz;PolicAveOTWorked;LandArea;PopDens;PctUsePubTrans;PolicCars;PolicOperBudg;LemasPctPolicOnPatr;LemasGangUnitDeploy;LemasPctOfficDrugUn;PolicBudgPerPop;murders;murdPerPop;rapes;rapesPerPop;robberies;robbbPerPop;assaults;assaultPerPop;burglaries;burglPerPop;larcenies;larcPerPop;autoTheft;autoTheftPerPop;arsons;arsonsPerPop;ViolentCrimesPerPop;nonViolPerPop
Uticacity;NY;65;76540;6;68637;lut.42;18172,00;86,66;43800,00;43558,00;13,75;27,31;43538,00;17,16;68637,00;100,00;19950,00;65,39;0,37;37,17;36,57;14,25;20,33;26757,00;10726,00;11556,00;5645,00;4652,00;5490,00;3318,00;4604,00;14308,00;21,73;15,21;32,62;11658,00;14489,00;50,91;15,63;43583,00;13,16;43607,00;43374,00;38,41;12754,00;13089,00;43527,00;60,08;57,12;63,17;65,10;56,73;64,73;3379,00;43617,00;3718,00;43575,00;22,24;26,33;31,31;43709,00;43497,00;15707,00;43647,00;85,65;42401,00;35886,00;43527,00;11355,00;43587,00;41306,00;52,86;24108,00;43,58;3,00;2769,00;91,10;48,88;41699,00;43,59;1939,00;14154,00;0,51;50600,00;65900,00;83300,00;32700,00;203,00;271,00;337,00;134,00;338,00;43674,00;43636,00;43569,00;178,00;0,00;15462,00;82,71;59,31;88,48;95,18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43724,00;4052,30;36251,00;NA;NA;NA;NA;0,00;NA;14,00;21,88;24,00;37,51;170,00;265,72;65,00;101,60;681,00;1064,43;2634,00;4117,04;260,00;406,39;13,00;20,32;426,71;5608,2
Nilescity;OH;NA;NA;3;21128;02.maj;35065,00;97,49;0,27;0,63;43721,00;25,19;29921,00;14,55;21128,00;100,00;25547,00;71,79;0,42;35,91;33,55;30864,00;19,77;31739,00;11919,00;11906,00;14637,00;31028,00;4948,00;12959,00;8627,00;2633,00;24442,00;18111,00;28,16;43627,00;43472,00;55,06;29,76;43486,00;43578,00;20,34;20729,00;27,46;43537,00;43567,00;43588,00;73,85;71,65;81,69;76,98;50,65;59,83;360,00;43679,00;476,00;36220,00;36220,00;36220,00;36220,00;0,09;0,09;0,09;0,09;93,92;0,55;19784,00;16103,00;16834,00;24869,00;43618,00;70,79;45658,00;42,60;3,00;431,00;95,15;65,12;11720,00;42,00;1956,00;35855,00;0,32;35800,00;47800,00;63400,00;27600,00;217,00;282,00;346,00;129,00;333,00;43609,00;43511,00;43657,00;0,00;0,00;45689,00;74,47;63,00;91,98;96,22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43685,00;2404,80;0,34;NA;NA;NA;NA;0,00;NA;0,00;0,00;1,00;23468,00;13,00;60,38;78,00;362,25;128,00;594,46;700,00;3250,98;83,00;385,47;0,00;0,00;427,27;4230,9
Narragansetttown;RI;9;48340;9;14985;lut.56;0,82;97,15;0,88;43525,00;16,55;34,42;22,54;41548,00;0,00;0,00;35545,00;81,47;0,95;46,81;22,45;24929,00;43572,00;44361,00;16986,00;17049,00;14098,00;10186,00;22775,00;9194,00;21922,00;1945,00;43537,00;17227,00;30286,00;37,07;43529,00;66,82;43593,00;29,00;22828,00;32,57;28642,00;42,98;25447,00;46600,00;36192,00;76,57;76,47;86,59;85,01;63,13;76,25;121,00;46023,00;497,00;22,33;35,21;39,64;39,64;0,74;42736,00;11324,00;11324,00;93,37;0,50;45717,00;43648,00;20121,00;23774,00;15373,00;60,14;41275,00;43,47;3,00;2363,00;71,20;57,88;16072,00;77,15;1971,00;23012,00;0,24;130700,00;167100,00;237500,00;106800,00;454,00;584,00;720,00;266,00;670,00;43554,00;43547,00;43598,00;0,00;0,00;11749,00;60,94;47,28;66,65;82,41;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43660,00;1022,40;0,99;NA;NA;NA;NA;0,00;NA;0,00;0,00;4,00;26,79;1,00;43652,00;59,00;395,15;149,00;997,92;263,00;1761,44;23,00;154,04;0,00;0,00;428,64;2913,4
McAlestercity;OK;NA;NA;5;16370;lut.53;24654,00;81,28;0,41;45658,00;27699,00;23,49;25477,00;17,57;0,00;0,00;19906,00;64,95;26299,00;31,92;38,77;30956,00;21,58;24301,00;10560,00;11495,00;5635,00;6991,00;2985,00;10764,00;6444,00;2995,00;19,95;43568,00;34,63;27699,00;43564,00;45,81;13,17;23,96;29891,00;25,25;13,77;25,62;43511,00;14,52;32540,00;68,46;63,98;86,03;67,75;58,47;67,95;309,00;43771,00;173,00;24685,00;20760,00;20760,00;43603,00;0,09;0,12;0,12;0,20;96,99;0,52;43710,00;33604,00;43526,00;46784,00;12086,00;66,91;29587,00;45,65;3,00;782,00;89,22;67,39;25235,00;53,45;1960,00;47392,00;0,06;23300,00;36500,00;53900,00;30600,00;122,00;206,00;285,00;163,00;296,00;43640,00;21,00;43720,00;20,00;0,00;43617,00;71,45;55,52;78,05;90,67;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43628,00;1303,30;0,43;NA;NA;NA;NA;0,00;NA;0,00;0,00;6,00;33,84;6,00;33,84;64,00;361,01;172,00;970,22;494,00;2786,55;48,00;270,76;9,00;50,77;428,70;4078,3
SiouxFallscity;SD;99;59020;9;99405;lut.53;0,73;96,82;0,68;0,57;43659,00;29,20;13,92;47392,00;99405,00;100,00;27123,00;81,64;42036,00;44,67;23,84;28946,00;26999,00;34144,00;13574,00;13840,00;7414,00;4274,00;6405,00;4450,00;5754,00;8205,00;22494,00;34516,00;16,75;22,72;3,00;71,01;32478,00;43641,00;36495,00;25,28;28369,00;29,13;18203,00;25112,00;43527,00;76,25;75,91;85,01;80,91;79,56;82,97;1239,00;43647,00;1680,00;21,43;43612,00;33,99;45,48;0,36;0,46;0,57;0,77;95,97;0,70;17958,00;46054,00;15373,00;27061,00;35431,00;66,14;21551,00;52,48;2,00;1741,00;95,76;58,45;24473,00;26,13;1965,00;43558,00;0,23;46000,00;59000,00;78100,00;32100,00;256,00;336,00;407,00;151,00;380,00;43670,00;20,00;43628,00;107,00;18,00;25204,00;65,17;47,84;76,45;85,50;134,00;121,39;124,00;112,33;48521,00;43956,20;362,10;121,40;97,55;98,51;17899,00;0,00;0,00;17899,00;4,00;7,00;97,70;44,90;2213,70;0,56;61,00;4962893,00;92,54;0,00;36192,00;44959,80;2,00;29587,00;103,00;93,31;44,00;39,86;326,00;295,33;735,00;665,85;3470,00;3143,54;195,00;176,65;29,00;26,27;430,31;4012,3
Chesapeakecity;VA;550;16000;9;151976;lut.92;27,41;70,67;45658,00;46023,00;14,33;43643,00;16407,00;43684,00;146527,00;96,41;35737,00;85,51;0,59;34,01;18,83;44317,00;19,19;39093,00;13817,00;15256,00;10227,00;19359,00;10075,00;11951,00;12765,00;13329,00;35643,00;34881,00;22,89;43724,00;45017,00;67,88;14,72;21,81;42705,00;26,44;15585,00;26,28;45627,00;32051,00;44621,00;76,70;71,01;82,69;76,22;65,15;73,04;4413,00;43559,00;2652,00;19268,00;43600,00;21,23;43673,00;0,18;0,27;0,37;0,47;96,17;0,41;43501,00;43528,00;31809,00;34001,00;25965,00;74,48;28522,00;30,99;3,00;3777,00;93,22;72,96;43593,00;32,14;1975,00;43191,00;0,44;68200,00;88200,00;117100,00;48900,00;299,00;399,00;489,00;190,00;494,00;43672,00;43731,00;43478,00;5,00;0,00;27395,00;58,10;48,07;67,38;86,38;261,00;143,10;229,00;125,55;122309,00;67057,20;468,60;143,10;82,16;88,51;26938,00;0,38;0,38;18203,00;12,00;6,00;43509,00;352,90;430,60;43525,00;226,00;8150502,00;87,74;10,00;43620,00;44686,00;13,00;41456,00;61,00;33,44;327,00;179,28;385,00;211,08;1612,00;883,80;4958,00;2718,28;490,00;268,65;95,00;52,08;430,93;3922,8
FlowerMoundtown;TX;NA;NA;10;15527;03.wrz;43648,00;94,85;1,00;45383,00;13,52;24,32;17046,00;27061,00;15527,00;100,00;53693,00;94,69;23377,00;53,26;23559,00;1,00;24593,00;55113,00;19066,00;19261,00;19283,00;18213,00;13447,00;11670,00;11955,00;167,00;43678,00;43466,00;15858,00;35,61;19784,00;77,58;17,39;16,76;26755,00;39,83;43622,00;19,57;43563,00;43592,00;12479,00;90,62;89,05;97,06;84,55;52,60;64,29;16,00;0,19;376,00;43805,00;11567,00;14,63;20,21;0,15;0,23;0,35;0,49;94,07;0,71;15432,00;29646,00;43711,00;43772,00;34366,00;87,01;27395,00;43570,00;3,00;347,00;93,53;86,33;0,00;35,16;1984,00;13516,00;0,00;84100,00;98500,00;128400,00;44300,00;447,00;598,00;731,00;284,00;740,00;43669,00;43579,00;43508,00;0,00;0,00;15373,00;42,09;37,01;52,59;76,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,20;467,90;0,34;NA;NA;NA;NA;0,00;NA;0,00;0,00;3,00;20363,00;3,00;20363,00;117,00;411,51;123,00;432,61;286,00;1005,91;25,00;87,93;4,00;43660,00;432,61;1540,5
Kearnytown;NJ;17;36510;5;34874;02.sie;45292,00;90,49;43650,00;43633,00;35034,00;28,53;13,26;44531,00;34874,00;100,00;37840,00;80,52;0,48;45,03;29,23;41395,00;16,73;43096,00;15735,00;16185,00;8045,00;15674,00;11016,00;12312,00;13494,00;2093,00;43622,00;43511,00;31,51;15,28;44713,00;63,72;43727,00;19,56;18,45;21,45;16954,00;36,17;9,00;27576,00;45717,00;80,03;77,69;87,82;78,36;55,23;66,97;385,00;22647,00;9403,00;17,32;27,96;33,54;40,47;24563,00;19906,00;43564,00;33512,00;64,12;43473,00;30437,00;13606,00;28157,00;3,00;19756,00;53,77;31837,00;56,26;2,00;965,00;92,82;49,60;41640,00;38,24;1939,00;33604,00;0,31;133600,00;165700,00;196100,00;62500,00;440,00;535,00;625,00;185,00;619,00;43520,00;43730,00;16,00;0,00;0,00;26,96;59,52;61,42;80,94;90,33;132,00;366,56;108,00;299,92;14155,00;39308,50;107,20;366,60;91,25;99,24;0,00;0,76;0,00;0,76;6,00;10,00;141,40;43594,00;3681,50;10,00;37,00;7313592,00;81,82;0,00;20180,00;203098,91;1,00;28522,00;8,00;22,22;70,00;194,39;77,00;213,83;456,00;1266,31;1233,00;3424,05;357,00;991,39;5,00;13,89;433,21;5695,6
Vacavillecity;CA;NA;NA;9;71479;mar.16;33451,00;78,84;29646,00;43723,00;35400,00;29,21;31382,00;46539,00;71479,00;100,00;40679,00;85,72;0,52;40,04;17,21;20607,00;19,85;43574,00;14490,00;15714,00;10114,00;10556,00;13323,00;7848,00;9264,00;3872,00;43714,00;42125,00;17,65;16,86;43712,00;60,20;25508,00;18,68;20790,00;22,74;12632,00;36,96;13,78;26573,00;43525,00;76,50;74,45;83,58;77,12;57,43;67,41;1061,00;17199,00;5576,00;31352,00;19,78;28,43;35,15;0,92;19725,00;44593,00;27061,00;86,80;27426,00;16558,00;44287,00;29983,00;32174,00;26696,00;65,71;31868,00;35,67;3,00;1033,00;95,63;64,48;0,48;26,82;1977,00;31048,00;0,20;122800,00;147900,00;180700,00;57900,00;456,00;561,00;686,00;230,00;629,00;43551,00;43641,00;43597,00;0,00;0,00;43684,00;51,78;35,46;60,80;85,94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43608,00;3047,40;43497,00;NA;NA;NA;NA;0,00;NA;1,00;43497,00;20,00;23,97;75,00;89,90;266,00;318,85;563,00;674,86;2401,00;2878,03;218,00;261,31;27,00;32,36;433,92;3846,6
ElSegundocity;CA;NA;NA;8;15223;lut.25;43466,00;90,52;43501,00;43686,00;43506,00;28,13;46692,00;43716,00;15223,00;100,00;46352,00;85,52;43556,00;52,89;17,23;44593,00;30286,00;53215,00;23583,00;24345,00;18792,00;21006,00;17401,00;11904,00;20132,00;643,00;45748,00;43558,00;43625,00;32,49;11749,00;73,78;43799,00;14,71;32629,00;42,72;32112,00;36,94;43786,00;15,00;32174,00;73,51;73,41;92,32;68,29;58,06;70,01;64,00;0,74;1993,00;43482,00;43666,00;30,16;35,83;44958,00;23043,00;34759,00;25294,00;85,70;2,00;23071,00;43557,00;45689,00;19756,00;43587,00;45,67;31107,00;67,15;2,00;417,00;94,20;40,40;0,72;14,39;1960,00;28856,00;0,19;295400,00;357300,00;436600,00;141200,00;611,00;754,00;954,00;343,00;800,00;43549,00;43643,00;43656,00;0,00;0,00;43721,00;44,50;39,12;80,62;85,31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43651,00;2648,40;0,72;NA;NA;NA;NA;0,00;NA;1,00;14032,00;7,00;44,69;33,00;210,69;27,00;172,38;230,00;1468,43;647,00;4130,75;174,00;1110,90;6,00;38,31;434,14;6748,4
GreenBaycity;WI;9;31000;3;96466;lut.51;0,47;94,22;11720,00;43466,00;13,75;28,94;13,74;44866,00;96466,00;100,00;26770,00;77,30;0,52;50,43;26,38;17015,00;20059,00;33367,00;12969,00;13428,00;11094,00;5438,00;3552,00;6297,00;5166,00;12607,00;13,39;43686,00;19,15;16,66;15462,00;64,66;43730,00;20,71;17,91;21,78;17777,00;31,71;17472,00;19998,00;43680,00;73,03;73,56;77,80;75,84;65,65;71,31;2155,00;30348,00;2318,00;43794,00;32,01;38,57;57,51;0,60;0,77;0,93;13881,00;94,99;12785,00;43469,00;23408,00;16469,00;43648,00;43801,00;62,36;45689,00;51,49;2,00;1343,00;96,62;56,56;0,60;43495,00;1962,00;25965,00;0,32;44400,00;55500,00;70900,00;26500,00;253,00;314,00;379,00;126,00;363,00;43490,00;43636,00;43537,00;150,00;1,00;43557,00;81,03;51,17;82,99;92,57;128,00;123,63;93,00;89,82;36500,00;35253,40;285,20;123,60;94,22;97,66;0,00;0,00;0,00;0,00;10,00;7,00;210,90;45,40;2124,30;43132,00;28,00;8103698,00;72,66;10,00;29768,00;78269,40;2,00;33970,00;62,00;59,88;46,00;44,43;341,00;329,35;644,00;622,01;3368,00;3252,97;239,00;230,84;9,00;25416,00;435,60;4114,5
TwinFallscity;ID;NA;NA;6;27591;lut.63;0,17;94,76;43617,00;27546,00;43661,00;25,75;46722,00;13,65;0,00;0,00;23206,00;74,60;43526,00;37,64;31,13;43652,00;14,36;29169,00;11329,00;11603,00;6037,00;11594,00;6217,00;5095,00;5043,00;3876,00;14,44;34516,00;43608,00;13,67;12875,00;62,40;15,71;21,96;17,27;21,71;21459,00;23,89;43538,00;20424,00;43772,00;75,22;74,19;81,96;71,93;68,72;72,64;302,00;46753,00;796,00;16,96;43584,00;37,81;55,40;0,49;0,85;43709,00;43617,00;91,52;12420,00;43713,00;43773,00;20121,00;23774,00;14277,00;65,15;20880,00;47,99;3,00;537,00;95,12;62,76;43525,00;29,61;1960,00;19572,00;0,36;38300,00;51600,00;69500,00;31200,00;181,00;246,00;309,00;128,00;313,00;43669,00;43663,00;43596,00;148,00;0,00;32174,00;52,68;46,13;75,89;87,13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43718,00;2526,60;0,77;NA;NA;NA;NA;0,00;NA;1,00;43711,00;10,00;30,86;14,00;43,21;117,00;361,08;366,00;1129,53;1491,00;4601,43;126,00;388,85;12,00;37,03;438,23;6156,8
Shawneecity;OK;NA;NA;7;26017;lut.52;15036,00;82,62;0,77;35065,00;16,37;28,47;43571,00;15,57;0,00;0,00;19002,00;67,47;0,99;33,62;35,61;11,00;17,28;25151,00;10301,00;11108,00;6826,00;5743,00;14059,00;10970,00;6370,00;5199,00;21,21;21490,00;30,55;13,97;43808,00;50,99;14,59;43672,00;15,44;26,37;11994,00;26,71;13,83;26268,00;36192,00;70,10;65,93;75,58;69,96;59,58;66,32;416,00;33970,00;281,00;43481,00;20,28;24,91;31,32;0,17;0,22;0,27;0,34;95,97;0,31;12510,00;32540,00;14277,00;15008,00;12451,00;64,93;27061,00;51,69;2,00;1447,00;87,72;64,32;43648,00;56,67;1959,00;14185,00;0,56;27100,00;40200,00;59500,00;32400,00;152,00;236,00;300,00;148,00;322,00;43552,00;43604,00;13,00;8,00;9,00;43678,00;70,57;49,52;76,38;91,42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43,30;601,00;0,10;NA;NA;NA;NA;0,00;NA;0,00;0,00;16,00;57,04;14,00;49,91;93,00;331,55;380,00;1354,72;1021,00;3639,93;83,00;295,90;14,00;49,91;438,50;5340,5
Prescottcity;AZ;NA;NA;9;26455;02.mar;0,48;95,25;0,56;41821,00;43435,00;21,17;33543,00;23,98;0,00;0,00;22517,00;61,73;0,44;49,99;42,70;29677,00;43522,00;29473,00;13851,00;14109,00;4068,00;7049,00;15217,00;7618,00;7920,00;3354,00;13,27;43560,00;16,66;23,51;32660,00;45,52;43776,00;32,91;21794,00;28,75;43657,00;43523,00;13,71;16041,00;25965,00;72,45;71,03;86,73;78,24;58,09;68,22;238,00;43617,00;892,00;43686,00;20394,00;43721,00;14,24;0,31;0,39;0,47;0,48;92,87;0,43;43468,00;34700,00;43498,00;45689,00;43801,00;65,93;20486,00;59,55;2,00;1914,00;85,71;64,60;0,89;26,49;1974,00;16984,00;0,47;71500,00;94600,00;133400,00;61900,00;281,00;356,00;458,00;177,00;423,00;43676,00;23,00;43508,00;14,00;0,00;13940,00;43521,00;38,20;61,48;74,12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,50;788,70;0,00;NA;NA;NA;NA;0,00;NA;1,00;43160,00;14,00;44,51;16,00;50,87;107,00;340,20;227,00;721,73;1285,00;4085,59;83,00;263,89;15,00;47,69;438,76;5118,9
PinellasParkcity;FL;NA;NA;4;43426;lut.39;0,96;96,08;31778,00;46082,00;28399,00;23,15;11963,00;20,76;43426,00;100,00;26109,00;68,64;0,37;43,76;38,97;17654,00;23,17;30542,00;12734,00;12851,00;9970,00;13091,00;10328,00;5097,00;8778,00;3948,00;46997,00;23924,00;26,22;31321,00;42826,00;57,15;20,21;43482,00;14,37;20,48;43596,00;22,76;43630,00;13,17;29618,00;71,50;67,95;80,62;76,25;72,36;78,23;371,00;43556,00;2748,00;43535,00;16,45;43698,00;25,55;0,70;43556,00;13881,00;22647,00;91,70;12055,00;15401,00;11720,00;12451,00;11720,00;15373,00;72,75;23043,00;67,04;2,00;2408,00;88,31;73,64;0,62;21,68;1975,00;43620,00;0,14;51200,00;61900,00;75300,00;24100,00;352,00;411,00;479,00;127,00;498,00;43672,00;43518,00;43477,00;12,00;12,00;12206,00;22,92;48,35;78,37;82,01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43569,00;3021,60;0,64;NA;NA;NA;NA;0,00;NA;2,00;13606,00;22,00;48,08;60,00;131,13;117,00;255,70;554,00;1210,77;2250,00;4917,39;162,00;354,05;18,00;39,34;439,29;6521,6
Burlingtontownship;NJ;5;8950;8;12454;02.sie;43486,00;74,35;24504,00;24167,00;44531,00;27,21;43509,00;43535,00;11226,00;90,14;39618,00;85,79;0,95;40,37;43547,00;43621,00;43543,00;44246,00;15924,00;16683,00;14588,00;15427,00;8158,00;9970,00;9167,00;578,00;34790,00;25051,00;43518,00;15,22;20546,00;67,06;18,61;18,91;15,55;21,42;43475,00;43496,00;33909,00;43507,00;43802,00;70,71;66,99;84,58;79,90;62,29;74,92;549,00;15493,00;675,00;16407,00;16,89;43548,00;34,96;0,67;0,92;11689,00;32509,00;90,99;42736,00;32234,00;18688,00;23408,00;34366,00;42767,00;67,39;46082,00;48,67;3,00;219,00;95,31;60,40;13516,00;35,62;1963,00;43771,00;0,28;89900,00;117800,00;147600,00;57700,00;442,00;475,00;518,00;76,00;523,00;43488,00;43637,00;43510,00;53,00;0,00;15462,00;56,86;56,52;84,00;92,47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,00;892,50;17958,00;NA;NA;NA;NA;0,00;NA;0,00;0,00;3,00;23,53;10,00;78,45;43,00;337,33;134,00;1051,23;431,00;3381,19;58,00;455,01;8,00;62,76;439,32;4950,2
Andersoncity;IN;NA;NA;1;59459;lut.45;43510,00;84,87;0,40;0,63;15,31;27,93;14,78;43630,00;59449,00;100,00;23221,00;71,60;0,67;35,74;32,58;29799,00;22,59;28901,00;12161,00;12599,00;9820,00;6634,00;8802,00;7428,00;6187,00;10320,00;17,98;43718,00;28,67;12,00;43678,00;56,59;27,00;21,54;21,92;43514,00;13,28;28,34;16,33;14,94;34731,00;62,56;58,70;69,89;62,76;63,08;72,44;2368,00;24198,00;517,00;13,15;22,82;28,24;33,08;0,11;0,20;0,25;0,29;97,43;0,28;31107,00;20121,00;13181,00;15373,00;46419,00;65,29;43709,00;56,30;2,00;2051,00;92,22;63,82;14397,00;56,36;1954,00;15554,00;0,49;26300,00;37000,00;52400,00;26100,00;186,00;253,00;325,00;139,00;338,00;43550,00;43480,00;43508,00;21,00;0,00;0,87;73,70;54,85;85,55;91,51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,20;1515,30;0,70;NA;NA;NA;NA;0,00;NA;8,00;13,13;34,00;55,79;98,00;160,80;128,00;210,02;608,00;997,60;2250,00;3691,79;125,00;205,10;9,00;14,77;439,73;4909,3
SanMateocity;CA;NA;NA;8;85486;lut.41;21245,00;78,57;13,31;15,48;42278,00;24,24;35339,00;14,48;85486,00;100,00;42894,00;77,92;0,90;53,23;26,68;24532,00;16,27;51502,00;22746,00;24613,00;15951,00;24179,00;16970,00;11610,00;11933,00;5186,00;42522,00;14397,00;14,73;30,16;45748,00;67,58;31717,00;19,86;29068,00;31,33;17807,00;33,16;14,45;20424,00;35827,00;76,33;73,21;91,74;80,39;66,13;73,35;1396,00;18660,00;20506,00;16,78;25,87;35,29;43,52;43500,00;44348,00;17015,00;16346,00;70,41;43683,00;17654,00;13940,00;13181,00;17199,00;45323,00;55,57;43806,00;59,47;2,00;1448,00;96,08;53,17;0,83;43633,00;1957,00;0,81;0,20;274200,00;349800,00;462200,00;188000,00;608,00;738,00;939,00;331,00;788,00;43524,00;43733,00;43476,00;297,00;136,00;23,99;45,57;50,37;77,79;88,59;111,00;125,74;99,00;112,15;79092,00;89595,30;712,50;125,70;86,07;82,50;12114,00;42826,00;0,00;43592,00;6,00;9,00;146,00;43628,00;6758,90;29007,00;51,00;9921745,00;89,19;10,00;15097,00;112393,30;3,00;43558,00;22,00;24,92;119,00;134,80;245,00;277,54;560,00;634,37;2136,00;2419,66;409,00;463,31;14,00;15,86;440,66;3533,2
Hackensackcity;NJ;3;28680;5;37049;lut.25;24,77;66,36;24532,00;43480,00;46997,00;27,33;24777,00;32843,00;37049,00;100,00;38976,00;82,16;0,37;42,98;43609,00;28246,00;35704,00;46171,00;20217,00;23489,00;13980,00;14781,00;16104,00;10533,00;12174,00;2483,00;35582,00;41913,00;25,57;25,74;28976,00;66,31;18,98;22,84;13,29;28,44;43536,00;40,11;14,24;13,16;34001,00;64,59;59,14;69,09;58,91;61,70;69,42;1631,00;35582,00;8711,00;15,39;24,34;37,27;47,51;22706,00;26420,00;27973,00;43040,00;72,32;11475,00;43586,00;31809,00;42401,00;17199,00;2,00;39,46;46539,00;77,88;2,00;1241,00;92,99;34,55;25204,00;33,28;1962,00;27426,00;0,94;156500,00;186300,00;226500,00;70000,00;496,00;639,00;791,00;295,00;693,00;43610,00;43701,00;43726,00;81,00;0,00;23,51;41,74;52,19;79,47;84,79;109,00;289,62;107,00;284,31;36907,00;98065,60;338,60;289,60;74,61;91,74;43590,00;27426,00;0,00;46235,00;14,00;10,00;43640,00;43528,00;8684,70;43569,00;34,00;5127534,00;98,17;5,00;31017,00;136243,80;4,00;23285,00;12,00;31,89;68,00;180,68;82,00;217,88;164,00;435,76;1401,00;3722,60;326,00;866,21;12,00;31,89;441,08;5056,5
Weymouthtown;MA;21;78865;4;54063;02.cze;0,99;97,62;0,90;43556,00;28430,00;27,13;36130,00;16041,00;54063,00;100,00;41586,00;81,21;0,51;44,79;28,21;11810,00;18,88;48331,00;18392,00;18523,00;11852,00;15220,00;11626,00;14792,00;15465,00;2201,00;41365,00;34366,00;16772,00;21,73;20576,00;68,03;34639,00;23,74;35309,00;28,93;21732,00;34,39;14154,00;43655,00;42795,00;79,13;78,72;88,78;79,47;60,84;71,45;596,00;17168,00;2453,00;17502,00;15,74;19,57;22,18;0,57;0,71;0,89;43466,00;95,15;0,29;47239,00;21610,00;20486,00;30713,00;43467,00;73,34;46388,00;48,84;3,00;1108,00;94,95;66,08;16103,00;43674,00;1956,00;0,69;0,08;133100,00;157200,00;183300,00;50200,00;462,00;639,00;748,00;286,00;689,00;43521,00;43697,00;43598,00;7,00;0,00;19815,00;83,22;64,23;83,23;94,31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43633,00;3067,40;44743,00;NA;NA;NA;NA;0,00;NA;1,00;43678,00;6,00;28399,00;22,00;39,50;217,00;389,64;339,00;608,71;837,00;1502,91;380,00;682,32;11,00;19,75;441,72;2813,7
